	names	scores	logfoldchanges	pvals	pvals_adj
256	Gramd3	2.849765	4.418469	0.004770120885991492	0.010446423538762841
278	Arhgap31	2.7431056	4.388223	0.006562648241488583	0.014099492130714368
319	Dll1	2.4960952	4.387591	0.01325505199584909	0.027151268558924104
352	Chil1	2.368603	4.3700976	0.018680516131170766	0.0373283843949372
196	Tmlhe	3.265136	4.3633	0.001260269829613079	0.0029671309709928297
91	Setd7	4.221226	4.3261647	3.488121208216236e-05	9.656636679668852e-05
153	Man1a	3.643135	4.293021	0.0003324089961414434	0.0008357237270306713
165	Ttc39a	3.5296042	4.2580028	0.0005018427397696102	0.0012380690737705743
132	Rnf157	3.829937	4.153294	0.0001651253397021179	0.00042784948443212544
14	Crim1	7.8942847	4.085931	1.090346291141277e-13	5.025022097355749e-13
90	Prickle1	4.2232747	4.036129	3.4556084563071856e-05	9.571894627238293e-05
47	Gpx8	5.309644	4.0135317	2.5549007379847437e-07	8.278497122667556e-07
204	Nudt10	3.2019691	3.9817765	0.0015565131230281864	0.0036252343608010186
116	Palm	3.943351	3.9580212	0.00010641361980195562	0.00028158302046059244
107	Airn	4.022974	3.9546704	7.766405843042506e-05	0.00020828014806227363
78	Pgk1-rs7	4.4847174	3.9332376	1.1462485466372764e-05	3.3152507694738474e-05
266	Adra2b	2.7854762	3.9250553	0.005787955525518194	0.01253422951818823
210	Fam167a	3.1543634	3.8773367	0.001821555258232363	0.00420979428202654
302	Peg13	2.5785623	3.865832	0.010541399690444726	0.021975664496390403
30	Islr2	6.1456766	3.8557029	3.339034497915407e-09	1.2236316107308297e-08
74	Ghr	4.536418	3.8334656	9.170050730413568e-06	2.6718806448838516e-05
233	Twist1	2.9904904	3.7786083	0.0030843951754285902	0.006921041591679818
322	Barx1	2.4868412	3.7481964	0.013591148150359772	0.027791401381754868
287	Chst14	2.6629682	3.7419171	0.008288183777692042	0.017568127980455518
87	Eid1	4.2695594	3.723161	2.8477920547797276e-05	7.949546259674761e-05
330	Fxyd3	2.456714	3.7135072	0.014756421308957001	0.030004285959542833
230	Fhl2	3.0234492	3.7105203	0.0027802578536843645	0.006277792284701661
198	Lrrk1	3.2474544	3.7080026	0.0013362127088961326	0.003136240970381013
49	Plbd1	5.280792	3.6043987	2.923670222435307e-07	9.441776964326322e-07
177	Ephb6	3.4259732	3.6043231	0.0007242952225621869	0.0017536742735902637
52	Timp2	5.26596	3.6032066	3.1229640707024e-07	1.0054401412318977e-06
36	Plekhh2	5.6767044	3.5325801	4.009487037046382e-08	1.3742285996711365e-07
282	Srd5a1	2.7113755	3.491729	0.007202699391058594	0.015387863129156435
343	Il10rb	2.3990114	3.4709165	0.017230246225697778	0.03466999548525733
35	Arhgef28	5.919213	3.4676929	1.1383785468585997e-08	4.0381855828065465e-08
12	Rps6ka6	8.154902	3.4524138	1.8680487224318e-14	8.884268777472017e-14
331	Slc36a4	2.4563847	3.3530707	0.014766550235354954	0.030022454301658463
34	Adamts9	5.9611144	3.3422275	9.054417779613213e-09	3.231023192344882e-08
265	Mical2	2.7883103	3.3388834	0.00573679741846838	0.012431375108903655
318	Endod1	2.5007682	3.2809563	0.013080887921756231	0.026809798320203394
6	Epas1	9.441875	3.272993	2.5007619845293043e-18	1.3819017345968832e-17
103	Maml3	4.115619	3.2546616	5.354952636427468e-05	0.0001455570333009472
41	Fam114a1	5.5104976	3.219427	9.273850305381991e-08	3.1094965420098454e-07
314	Itpripl2	2.522777	3.1912498	0.012310747129148505	0.025378178436862932
193	Pitpnm2	3.295322	3.1799664	0.001134661494599071	0.0026871777707106253
225	Foxf2	3.0389895	3.1730754	0.0026433186107842625	0.005983624580243641
24	Ets1	6.44998	3.169208	6.036846584176985e-10	2.308816162055464e-09
152	Lipa	3.6646397	3.1666222	0.000306435808555334	0.0007725855796733357
80	Pdlim4	4.4535275	3.1234887	1.3010404852037175e-05	3.746150682785521e-05
178	Gpr146	3.413748	3.1144178	0.0007547100664122933	0.0018225784380313773
315	Nsmf	2.5197093	3.1032124	0.012417074118501173	0.025572218959945842
37	Rnase4	5.627626	3.096331	5.104944662020163e-08	1.7394984831814573e-07
243	Naglu	2.9117887	3.093023	0.00394358228878797	0.008730581666271131
342	Mlycd	2.401282	3.0834317	0.017123862805031934	0.03446972191083333
120	Col27a1	3.904388	3.0720413	0.00012311730174775304	0.00032377340388530895
324	Irs2	2.4668822	3.0442085	0.014347245363771494	0.029245592372796447
5	Mbnl2	9.643771	3.0306215	5.718471780242038e-19	3.226613709291346e-18
163	Glud-ps	3.5333483	3.0264943	0.0004940768100879402	0.001219388547974102
339	Krt19	2.4261143	3.0181208	0.016011824469918338	0.03238152699118233
300	Tnfaip3	2.5957787	3.016381	0.010034954908117571	0.021002655032656935
254	Fam189a2	2.862328	3.0110846	0.004584439823029616	0.010065200253861128
56	Stra6	5.1144443	3.0071406	6.406433754676074e-07	2.018379692699423e-06
299	CAAA01077340.1	2.5959408	2.9870114	0.0100354182570368	0.021002655032656935
51	Nudt11	5.2770977	2.9795551	2.925192958409258e-07	9.44548185825757e-07
17	Fhdc1	7.491931	2.9768538	1.218004933101371e-12	5.344094904453496e-12
0	Hkdc1	11.783326	2.9612827	3.202716659134555e-26	2.2591456770575037e-25
149	Ifngr2	3.6966696	2.9526403	0.00027197955860174433	0.0006897241472999573
108	Lrrc8c	4.0190578	2.9501743	7.853953117707737e-05	0.00021057166566064848
258	Ak3	2.8434722	2.942998	0.00485878547035861	0.010628566807670273
288	Cmtm3	2.65505	2.934554	0.008477412235258488	0.017955610253089595
223	Nfkbiz	3.0566328	2.9198387	0.002497345033551492	0.005669968297581957
218	Oaf	3.0824993	2.9062805	0.002298546988151644	0.005243755753670094
97	Creb3l1	4.1839275	2.8970888	4.032572799512289e-05	0.00011096743922867532
1	App	11.591521	2.890173	2.290614678178661e-25	1.5811778708810657e-24
325	F2	2.463542	2.88348	0.01448222030772334	0.029492047410983883
276	Spry3	2.7479923	2.8699548	0.006463616543888636	0.013908110397346
18	Ltbr	7.2984776	2.8518507	3.956762584327325e-12	1.694966043020598e-11
156	Myo1d	3.6105502	2.8363333	0.0003728938206129899	0.0009325682206899133
192	Trpm6	3.2976284	2.8327625	0.00112607018316469	0.0026679070723673935
96	Enpp1	4.1857996	2.7752993	3.970414759459603e-05	0.00010935269118520403
341	Tmcc3	2.414634	2.76728	0.016514741783085818	0.03333428140039646
123	Crtc3	3.887132	2.755734	0.00013187923472487788	0.0003456230746269617
58	A730049H05Rik	5.0573893	2.7439528	8.447085689930622e-07	2.6401341133761787e-06
128	Gata6os	3.864307	2.7047179	0.00014408324484587235	0.00037607864904566494
237	Arhgap28	2.9607577	2.69937	0.0033839091253785765	0.007555374590784016
45	Chd7	5.370867	2.6844974	1.8283439302493885e-07	5.996109937613184e-07
148	Lonrf1	3.7015567	2.644103	0.0002662523659807722	0.0006760181703724986
21	Chst15	6.9781528	2.641742	2.5690748385057273e-11	1.0545448513017798e-10
366	Fzd4	2.2954023	2.6384382	0.022597927124300466	0.04457212098209472
102	Rhou	4.1201477	2.631674	5.212877367654436e-05	0.00014177177782028294
304	Gbe1	2.5708895	2.620766	0.010758023023898387	0.022399413222675277
359	Lrrc73	2.341416	2.6113172	0.020045628332718838	0.039869355189468624
134	Ihh	3.8171155	2.608849	0.00017223793860359437	0.0004454985200652764
67	Atf3	4.7511325	2.5939915	3.465154990084334e-06	1.041741467916593e-05
272	Plekho1	2.762841	2.573632	0.006181650410133364	0.013339043872050668
124	Tmed10-ps	3.8822339	2.5690887	0.000134639763282877	0.0003524538043102808
241	Ifnar2	2.9168565	2.5383022	0.0038751229997317027	0.008587335383248282
125	Ano10	3.8777397	2.5373466	0.00013635175330546282	0.0003568239703126937
81	Lipg	4.4258137	2.5299993	1.4539710221066556e-05	4.172163710936666e-05
175	Cdc42ep1	3.4601939	2.4947436	0.0006399123389589121	0.001557309885272105
376	Fndc4	2.2605143	2.494386	0.02470724510372986	0.04843251584626097
323	Large1	2.4671993	2.4884074	0.014330437172874685	0.02921606554113226
361	Fhod1	2.3381858	2.466339	0.020208644152955344	0.04015548108250563
114	Selenon	3.9632487	2.456595	9.727510291572476e-05	0.00025827084006144614
92	Chpf2	4.213482	2.4458728	3.565912630640525e-05	9.862228291493323e-05
176	Mbd2	3.4416618	2.4422126	0.0006826206217940309	0.0016577176212209937
94	Plat	4.195503	2.4352524	3.8188119403877344e-05	0.0001053156403338593
150	Pitx2	3.6935205	2.4164584	0.000272982371986846	0.0006919881673845737
122	Dhrs7	3.9008515	2.406885	0.0001238822277330444	0.0003256828549746027
347	Shisa4	2.386416	2.3761184	0.017808410290500946	0.035727608266650245
249	Ogfrl1	2.879913	2.37535	0.004342107563604769	0.009558184445166217
93	Atf5	4.2095475	2.3713095	3.6044507302982495e-05	9.961285526762595e-05
68	Sh3pxd2b	4.7326984	2.3639567	3.764256116327786e-06	1.1282900184712719e-05
154	P3h4	3.6286914	2.3403862	0.000348559975247131	0.0008744068632059772
53	Smarca2	5.2629385	2.3258104	3.088532279245171e-07	9.948641433235118e-07
32	F3	6.073961	2.3256125	4.499955206047705e-09	1.634067753037736e-08
336	Zfp449	2.4395423	2.3234706	0.015444612495655208	0.031314991352225624
190	Slc39a13	3.3077345	2.3160927	0.0010855268008816397	0.00257792118102122
185	Rassf3	3.3609276	2.2963758	0.0009051460498831031	0.0021663219542111868
236	Pyy	2.971269	2.2847002	0.003263254297522108	0.00730218829284504
183	Dyrk2	3.3789606	2.2779055	0.0008490848103749036	0.002037576733464065
179	Cpne8	3.4111056	2.275645	0.0007573320157398588	0.0018283836763528564
214	Frmpd1	3.136786	2.2736177	0.0019223724068407372	0.004426929920504615
344	Kctd17	2.3976712	2.2697027	0.017270772382624238	0.03474598164540751
136	Atxn7l1	3.7782626	2.230745	0.00019903967899672815	0.000511822131004263
164	Efemp2	3.5305233	2.2286282	0.0004974003029799281	0.0012273501296014432
70	Sema4g	4.635386	2.2226582	5.799632979579068e-06	1.715878240041542e-05
313	Mir22hg	2.5257921	2.2168176	0.012199148604696229	0.02517700886138242
171	Cmklr1	3.4828715	2.2045941	0.0005893873610109488	0.0014423046676592477
127	Dusp3	3.8717875	2.199062	0.0001393609041107481	0.0003643954451145278
169	Cxcl16	3.5094333	2.198788	0.0005354626766236564	0.0013164918549302565
271	Abcd1	2.7709248	2.1976943	0.006027281235013537	0.013018223612015328
83	Lpin1	4.36703	2.1712427	1.8567653119015552e-05	5.277409565601324e-05
138	Clmp	3.767448	2.1482346	0.0002073656932765948	0.0005320355618808105
11	S100g	8.662554	2.140766	3.5068642288818483e-16	1.780255556272331e-15
333	Lrig3	2.4519258	2.1398842	0.014925784544420924	0.03032903986027659
186	Ntn3	3.357931	2.1397347	0.0009127864512025858	0.002183984627941581
284	Pitx1	2.683072	2.134382	0.007805978142800523	0.01660759318311802
260	Extl2	2.8315625	2.1309056	0.005031305408528686	0.010988751953297784
130	Col13a1	3.8583913	2.12805	0.00014644938819020607	0.0003818979795289699
8	Hs3st1	8.776377	2.1092865	1.3075425740601006e-16	6.748035680736104e-16
29	Cd63-ps	6.1916695	2.0964077	2.338062963641631e-09	8.653860474903116e-09
2	Bmper	11.315477	2.0872836	1.9013504367521613e-25	1.3142777929668554e-24
33	Anxa5	6.0091457	2.0843647	6.308182859531144e-09	2.2729699419659988e-08
60	Ahnak	5.0404196	2.078595	8.469139891268041e-07	2.646369500931134e-06
84	Mvb12b	4.341538	2.0581563	2.0782972420992916e-05	5.8811439788238924e-05
349	Galns	2.3759744	2.0556467	0.01830171190041055	0.03662672138936486
48	Frmd4a	5.3080316	2.0530252	2.431710338124831e-07	7.89560369758513e-07
79	Fgfr4	4.4666276	2.044759	1.2128994430636386e-05	3.501580694459172e-05
71	Serping1	4.6322045	2.0412607	5.837605170301965e-06	1.726706496399055e-05
268	Bace2	2.783047	2.0344427	0.005813149704693597	0.012581652699351466
365	Nos1ap	2.2983165	2.0144365	0.022413035534721473	0.04424213260930581
111	Nrg2	4.012687	2.0125105	7.967977865676498e-05	0.00021344676808650334
26	Parvb	6.3191233	2.0077717	1.0954770450516376e-09	4.1207760716657535e-09
76	Capn2	4.5108953	2.0072246	9.95183309353684e-06	2.8902945345205598e-05
