	names	scores	logfoldchanges	pvals	pvals_adj
18656	Got2	-6.487649	-3.2671597	3.7555706616805807e-10	1.4517846077134366e-09
14754	Col4a3bp	-3.3072057	-3.2693906	0.0010720570699881587	0.0025478574771808527
21255	Rab5c	-10.792835	-3.2724307	3.2887087940237185e-23	2.1331660908940853e-22
17980	Csrp2	-5.7761254	-3.2724519	2.002429497549974e-08	7.00836393229053e-08
13959	Usp24	-2.869166	-3.2739065	0.004448641109618814	0.009780711342658129
23438	Fkbp1a	-21.72035	-3.2757046	5.724606585085793e-66	8.50039870373365e-65
13347	Zdhhc16	-2.557108	-3.2807918	0.0111457462304513	0.0231434786759759
24160	P4hb	-37.43861	-3.2833753	4.992868515900956e-143	1.409546741290378e-141
19122	0610012G03Rik	-7.055261	-3.291459	1.2359895057771915e-11	5.161892749181384e-11
19907	Emc4	-8.157839	-3.298939	1.0672600669557396e-14	5.1330515725056733e-14
18851	Fh1	-6.7402515	-3.3086784	8.465642914355793e-11	3.3800759026619936e-10
18524	Nmt2	-6.3500676	-3.3149426	8.043968077255714e-10	3.049095434226797e-09
12739	Klf16	-2.2825444	-3.3150027	0.023303505074457366	0.0458523440740692
23553	Cstb	-23.157408	-3.320171	1.7993533686458688e-72	2.925722988682494e-71
22289	Mrpl12	-14.093226	-3.325478	4.23691668433603e-35	3.7473770139869373e-34
15066	Card19	-3.494349	-3.326321	0.0005555208805968571	0.0013630093865132017
16769	Ube3b	-4.6694117	-3.3294284	4.663987547333484e-06	1.3892000327486851e-05
22215	Pgd	-13.822121	-3.329744	4.7460570085762635e-34	4.080051879484871e-33
19816	Pak2	-7.996378	-3.3352244	2.90101244547624e-14	1.3706248507420987e-13
22788	Ywhab	-16.348154	-3.3388302	8.248410151562458e-44	8.844011464296764e-43
16660	Fbln1	-4.578013	-3.3393452	7.101208933797309e-06	2.0877023085640194e-05
18485	Akr7a5	-6.3129478	-3.3405457	1.002863227830458e-09	3.781445305478539e-09
20298	Prkar2a	-8.845209	-3.3500245	8.800552313728153e-17	4.576578310926565e-16
22131	Cldn6	-13.53534	-3.3513367	2.094952996558938e-34	1.8196287180747075e-33
21698	Cystm1	-12.072819	-3.3519409	5.360938143619231e-28	3.964982007191948e-27
16641	Acd	-4.563106	-3.3522258	7.567315625518712e-06	2.2203226087052102e-05
16618	2900097C17Rik	-4.543935	-3.35432	8.382342698865276e-06	2.452022889257555e-05
18031	Hmgcl	-5.821594	-3.3545983	1.544081654763584e-08	5.439752092986442e-08
18288	Sh3gl1	-6.0892186	-3.35796	3.482558027042975e-09	1.2751130220122123e-08
18494	Utp15	-6.324065	-3.359679	9.317796825828457e-10	3.5213320516359524e-09
21111	Ociad1	-10.484546	-3.3641486	3.086376307450421e-22	1.937960799740586e-21
21963	Smc4	-12.932571	-3.3642185	2.4138990224821566e-31	1.942393346497638e-30
20251	Mrps7	-8.758692	-3.3684027	1.7046063526185375e-16	8.755905287679538e-16
21162	Cyb5r3	-10.595641	-3.3697717	1.5670790874460102e-22	9.924045157506782e-22
22930	Eif5b	-17.348814	-3.3813035	1.0509262150041192e-47	1.1999545171227242e-46
22259	mt-Rnr1	-13.983579	-3.3832917	6.764498127178018e-38	6.394370007179101e-37
20346	Gng12	-8.930782	-3.3874183	3.9151760839362674e-17	2.065918590630016e-16
14371	Klhl21	-3.0950458	-3.3968034	0.0021825644793659177	0.004992745263183912
17127	Phrf1	-5.0086985	-3.396935	9.723725359872684e-07	3.0274859227904132e-06
20744	Rrm1	-9.675409	-3.39871	1.3760167677672195e-19	7.9186286379356295e-19
18816	Uso1	-6.689896	-3.4017913	1.1463403061848891e-10	4.5473969502877623e-10
15235	Atpaf2	-3.5984366	-3.4062433	0.0003815152479676038	0.0009531818183727757
20443	Mrps28	-9.085946	-3.4108489	1.6788303203588263e-17	8.998358806372452e-17
18699	Eif1ad	-6.539693	-3.4111009	2.802110561830716e-10	1.090412887875771e-09
18539	Anxa7	-6.370293	-3.4133694	7.020747672059765e-10	2.670092031191281e-09
14018	Diablo	-2.9012785	-3.4140465	0.004023420807984597	0.008894808138868393
13070	Ski	-2.4292214	-3.414306	0.01582358038031194	0.03203431314980817
13712	Rpl19-ps11	-2.7323775	-3.4148288	0.006722837182444683	0.014425168172584966
15991	Retreg3	-4.1028314	-3.4160342	5.347535740007722e-05	0.00014537113801378387
